ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	12.175	2309	457.347	444	*	103.0	13.347
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	12.144	2509	491.915	487	*	101.0	4.915
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	12.152	2873	554.538	567	*	97.8	-12.462
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	12.166	4161	776.549	735	*	105.7	41.549
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	12.150	5837	1065.407	1069	*	99.7	-3.593
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	12.148	10297	1834.292	1901	*	96.5	-66.708
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	12.132	21687	3797.520	3719	*	102.1	78.520
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	12.122	39977	6950.023	6976	*	99.6	-25.977
18	RPM05SEP19_01.gcd	9/5/2019 8:37:55 AM	air	Unknown	0	12.215	2215	441.249	-----	-----	-----	-----
19	RPM05SEP19_02.gcd	9/5/2019 9:08:32 AM	std +100	Unknown	0	12.186	9265	1656.321	-----	-----	-----	-----
20	RPM05SEP19_03.gcd	9/5/2019 9:39:08 AM	014	Unknown	0	12.106	67421	11680.336	-----	-----	-----	-----
21	RPM05SEP19_04.gcd	9/5/2019 10:09:45 AM	182	Unknown	0	12.093	72321	12524.975	-----	-----	-----	-----
22	RPM05SEP19_05.gcd	9/5/2019 10:40:22 AM	069	Unknown	0	12.101	69418	12024.696	-----	-----	-----	-----
23	RPM05SEP19_06.gcd	9/5/2019 11:11:00 AM	130	Unknown	0	12.194	1577	331.147	-----	-----	-----	-----
24	RPM05SEP19_07.gcd	9/5/2019 11:41:35 AM	214	Unknown	0	12.115	56202	9746.641	-----	-----	-----	-----
25	RPM05SEP19_08.gcd	9/5/2019 12:12:11 PM	172	Unknown	0	12.153	1830	374.739	-----	-----	-----	-----
26	RPM05SEP19_09.gcd	9/5/2019 12:42:49 PM	020	Unknown	0	12.090	73777	12775.874	-----	-----	-----	-----
27	RPM05SEP19_10.gcd	9/5/2019 1:13:23 PM	103	Unknown	0	12.170	1110	250.669	-----	-----	-----	-----
28	RPM05SEP19_11.gcd	9/5/2019 1:44:00 PM	090	Unknown	0	12.186	826	201.722	-----	-----	-----	-----
29	RPM05SEP19_12.gcd	9/5/2019 2:14:38 PM	129	Unknown	0	12.105	64549	11185.451	-----	-----	-----	-----
	Average					12.149	18187	3194.149			98.4	23.344
	%RSD					0.262958	147.498858	144.756184			4.975820	107.105303
	Maximum					12.215	73777	12775.874			105.7	78.520
	Minimum					12.090	826	201.722			87.4	0.216
	Std. Dev.					0.031947	26825.253125	4623.728703			4.894327	25.003103

