miniWiper Concatenated Data File
Logger:             5958-292374
Concatenation Date: 2019Jun14 16:04:02 EDT
Wipe Type: 1 Scrub: 0 Angle: 45 (deg)
Timeout: 10 (second)  Threshold: 200 (mA)


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Wipes Completed,     Wipe Time,  Forward Start Current,  Average Current,  Reverse Start Current,  Final Current,  Source Resistance
                  (Second),                        (none),                        (none),        (Volt),       (deg C),           (none),      (second),                   (mA),             (mA),                   (mA),           (mA),              (Ohm)
                1544752800,           2018-12-14 02:00:00,           2018-12-13 21:00:00,      3.360000,     10.972000,              660,           6.3,                   98.6,             87.4,                   98.6,          235.6,                1.4
                1544760000,           2018-12-14 04:00:00,           2018-12-13 23:00:00,      3.420000,     11.754000,              661,           6.2,                   94.3,             86.3,                   94.3,          232.2,                1.2
                1544767200,           2018-12-14 06:00:00,           2018-12-14 01:00:00,      3.430000,     11.754000,              662,           6.3,                   97.0,             88.5,                   97.0,          220.8,                1.2
                1544774400,           2018-12-14 08:00:00,           2018-12-14 03:00:00,      3.430000,     11.493000,              663,           6.1,                   94.9,             85.0,                   94.9,          205.7,                1.3
                1544781600,           2018-12-14 10:00:00,           2018-12-14 05:00:00,      3.430000,     11.493000,              664,           6.3,                   94.6,             87.6,                   94.6,          231.7,                1.3
                1544788800,           2018-12-14 12:00:00,           2018-12-14 07:00:00,      3.430000,     11.493000,              665,           6.1,                   94.2,             84.6,                   94.2,          219.1,                1.3
                1544796000,           2018-12-14 14:00:00,           2018-12-14 09:00:00,      3.430000,     11.232000,              666,           6.3,                   94.7,             87.5,                   94.7,          229.1,                1.3
                1544803200,           2018-12-14 16:00:00,           2018-12-14 11:00:00,      3.360000,     11.754000,              667,           6.2,                   98.3,             84.9,                   98.3,          230.1,                1.4
                1544810400,           2018-12-14 18:00:00,           2018-12-14 13:00:00,      3.420000,     11.493000,              668,           6.1,                   93.3,             84.8,                   93.3,          207.1,                1.2
                1544817600,           2018-12-14 20:00:00,           2018-12-14 15:00:00,      3.430000,     12.014000,              669,           6.3,                   96.5,             87.6,                   96.5,          230.4,                1.2
                1544824800,           2018-12-14 22:00:00,           2018-12-14 17:00:00,      3.430000,     11.493000,              670,           6.1,                   93.7,             84.7,                   93.7,          213.2,                1.3
                1544832000,           2018-12-15 00:00:00,           2018-12-14 19:00:00,      3.430000,     11.493000,              671,           6.3,                   95.6,             87.5,                   95.6,          229.7,                1.2
                1544839200,           2018-12-15 02:00:00,           2018-12-14 21:00:00,      3.430000,     11.493000,              672,           6.1,                   93.7,             84.7,                   93.7,          208.4,                1.3
                1544846400,           2018-12-15 04:00:00,           2018-12-14 23:00:00,      3.430000,     11.232000,              673,           6.3,                   95.2,             87.8,                   95.2,          230.4,                1.3
                1544853600,           2018-12-15 06:00:00,           2018-12-15 01:00:00,      3.360000,     12.014000,              674,           6.2,                   97.5,             85.5,                   97.5,          220.8,                1.4
                1544860800,           2018-12-15 08:00:00,           2018-12-15 03:00:00,      3.420000,     11.232000,              675,           6.1,                   93.8,             84.0,                   93.8,          220.7,                1.2
                1544868000,           2018-12-15 10:00:00,           2018-12-15 05:00:00,      3.430000,     11.493000,              676,           6.2,                   93.6,             86.2,                   93.6,          205.8,                1.2
                1544875200,           2018-12-15 12:00:00,           2018-12-15 07:00:00,      3.430000,     11.493000,              677,           6.1,                   93.7,             83.2,                   93.7,          228.3,                1.3
                1544882400,           2018-12-15 14:00:00,           2018-12-15 09:00:00,      3.430000,     11.232000,              678,           6.2,                   94.0,             86.3,                   94.0,          203.7,                1.3
                1544889600,           2018-12-15 16:00:00,           2018-12-15 11:00:00,      3.430000,     11.493000,              679,           6.1,                   93.7,             83.1,                   93.7,          230.9,                1.3
                1544896800,           2018-12-15 18:00:00,           2018-12-15 13:00:00,      3.430000,     11.232000,              680,           6.3,                   93.8,             86.7,                   93.8,          235.2,                1.3
                1544904000,           2018-12-15 20:00:00,           2018-12-15 15:00:00,      3.360000,     10.450000,              681,           6.2,                   97.1,             84.1,                   97.1,          234.2,                1.4
                1544911200,           2018-12-15 22:00:00,           2018-12-15 17:00:00,      3.420000,     11.232000,              682,           6.1,                   92.3,             83.2,                   92.3,          229.2,                1.2
                1544918400,           2018-12-16 00:00:00,           2018-12-15 19:00:00,      3.430000,     11.493000,              683,           6.3,                   94.2,             86.5,                   94.2,          235.9,                1.2
                1544925600,           2018-12-16 02:00:00,           2018-12-15 21:00:00,      3.430000,     11.754000,              684,           6.1,                   93.1,             83.1,                   93.1,          230.6,                1.3
                1544932800,           2018-12-16 04:00:00,           2018-12-15 23:00:00,      3.430000,     11.232000,              685,           6.2,                   93.2,             85.9,                   93.2,          209.9,                1.3
                1544940000,           2018-12-16 06:00:00,           2018-12-16 01:00:00,      3.430000,     11.493000,              686,           6.1,                   92.9,             83.6,                   92.9,          225.0,                1.3
                1544947200,           2018-12-16 08:00:00,           2018-12-16 03:00:00,      3.430000,     11.232000,              687,           6.3,                   94.0,             86.8,                   94.0,          235.0,                1.3
                1544954400,           2018-12-16 10:00:00,           2018-12-16 05:00:00,      3.360000,     11.232000,              688,           6.2,                   96.4,             84.8,                   96.4,          230.2,                1.3
                1544961600,           2018-12-16 12:00:00,           2018-12-16 07:00:00,      3.420000,     12.014000,              689,           6.1,                   91.7,             84.0,                   91.7,          224.8,                1.2
                1544968800,           2018-12-16 14:00:00,           2018-12-16 09:00:00,      3.430000,     11.493000,              690,           6.2,                   92.8,             85.8,                   92.8,          213.9,                1.2
                1544976000,           2018-12-16 16:00:00,           2018-12-16 11:00:00,      3.430000,     11.754000,              691,           6.1,                   92.2,             83.3,                   92.2,          230.9,                1.2
                1544983200,           2018-12-16 18:00:00,           2018-12-16 13:00:00,      3.430000,     11.232000,              692,           6.2,                   92.8,             85.6,                   92.8,          219.5,                1.3
                1544990400,           2018-12-16 20:00:00,           2018-12-16 15:00:00,      3.430000,     11.754000,              693,           6.1,                   91.5,             83.0,                   91.5,          232.3,                1.3
                1544997600,           2018-12-16 22:00:00,           2018-12-16 17:00:00,      3.430000,     12.014000,              694,           6.2,                   93.0,             85.5,                   93.0,          219.9,                1.2
                1545004800,           2018-12-17 00:00:00,           2018-12-16 19:00:00,      3.370000,     12.536000,              695,           6.1,                   96.7,             83.3,                   96.7,          212.8,                1.3
                1545012000,           2018-12-17 02:00:00,           2018-12-16 21:00:00,      3.420000,     12.014000,              696,           6.1,                   89.5,             83.3,                   89.5,          227.6,                1.2
                1545019200,           2018-12-17 04:00:00,           2018-12-16 23:00:00,      3.430000,     11.754000,              697,           6.2,                   94.3,             86.2,                   94.3,          209.5,                1.2
                1545026400,           2018-12-17 06:00:00,           2018-12-17 01:00:00,      3.430000,     11.493000,              698,           6.1,                   91.9,             83.5,                   91.9,          227.6,                1.3
                1545033600,           2018-12-17 08:00:00,           2018-12-17 03:00:00,      3.430000,     12.014000,              699,           6.2,                   93.2,             85.5,                   93.2,          217.9,                1.2
                1545040800,           2018-12-17 10:00:00,           2018-12-17 05:00:00,      3.430000,     12.014000,              700,           6.1,                   92.6,             83.1,                   92.6,          228.5,                1.3
                1545048000,           2018-12-17 12:00:00,           2018-12-17 07:00:00,      3.430000,     11.493000,              701,           6.2,                   92.8,             85.4,                   92.8,          219.8,                1.2
                1545055200,           2018-12-17 14:00:00,           2018-12-17 09:00:00,      3.370000,     11.493000,              702,           6.1,                   97.1,             83.6,                   97.1,          206.2,                1.3
                1545062400,           2018-12-17 16:00:00,           2018-12-17 11:00:00,      3.420000,     12.014000,              703,           6.1,                   90.8,             83.6,                   90.8,          223.7,                1.2
                1545069600,           2018-12-17 18:00:00,           2018-12-17 13:00:00,      3.430000,     11.754000,              704,           6.2,                   95.1,             85.5,                   95.1,          223.9,                1.2
                1545076800,           2018-12-17 20:00:00,           2018-12-17 15:00:00,      3.430000,     12.014000,              705,           6.1,                   91.3,             82.9,                   91.3,          231.6,                1.2
                1545084000,           2018-12-17 22:00:00,           2018-12-17 17:00:00,      3.430000,     11.754000,              706,           6.2,                   93.4,             85.1,                   93.4,          228.9,                1.3
                1545091200,           2018-12-18 00:00:00,           2018-12-17 19:00:00,      3.430000,     12.275000,              707,           6.1,                   91.3,             82.6,                   91.3,          234.8,                1.3
                1545098400,           2018-12-18 02:00:00,           2018-12-17 21:00:00,      3.430000,     11.493000,              708,           6.2,                   91.3,             85.1,                   91.3,          230.4,                1.3
                1545105600,           2018-12-18 04:00:00,           2018-12-17 23:00:00,      3.370000,     11.754000,              709,           6.1,                   96.5,             83.3,                   96.5,          214.8,                1.3
                1545112800,           2018-12-18 06:00:00,           2018-12-18 01:00:00,      3.420000,     11.754000,              710,           6.1,                   91.6,             83.3,                   91.6,          227.7,                1.2
                1545120000,           2018-12-18 08:00:00,           2018-12-18 03:00:00,      3.430000,     12.014000,              711,           6.2,                   92.8,             85.7,                   92.8,          222.6,                1.2
