Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-09-15T21:24:50Z,6.936,11.8988,4.3739,3.7556,81.523,59.885152,0.059,0.737,15.537,67.0808,0.12379,6.191306766669993,0.086,0
2020-09-15T21:24:50Z,6.961,11.8484,4.3759,3.8019,82.355,60.460693,0.0619,0.764,15.537,66.466,0.12372,6.26764393925072,0.083,0
2020-09-15T21:24:50Z,6.981,11.8106,4.3618,3.7332,84.414,61.969587,0.0589,0.769,15.536,65.8569,0.12366,6.442705091530705,0.079,0
2020-09-15T21:24:50Z,6.997,11.765,4.3272,3.5441,87.548,64.27692,0.0556,0.733,15.536,65.2229,0.12366,6.708410420555013,0.074,0
2020-09-15T21:24:50Z,7.015,11.7193,4.3003,3.4725,90.248,66.244401,0.0543,0.71,15.536,64.4788,0.12369,6.939701909789186,0.071,0
2020-09-15T21:24:50Z,7.032,11.6958,4.2939,3.5189,92.297,67.709906,0.0587,0.713,15.537,63.657,0.12376,7.113878667467252,0.07,0
2020-09-15T21:24:50Z,7.048,11.7,4.2594,3.6246,95.625,70.110861,0.0608,0.716,15.538,62.7725,0.12386,7.389586841218421,0.072,0
2020-09-15T21:24:50Z,7.066,11.7133,4.1887,3.7547,100.43,73.597629,0.0543,0.717,15.538,61.7,0.12388,7.787599038295257,0.075,0
2020-09-15T21:24:50Z,7.086,11.7049,4.1452,3.787,104.353,76.428338,0.0531,0.708,15.539,60.2397,0.12387,8.117854459191706,0.076,0
2020-09-15T21:24:50Z,7.108,11.676,4.1242,3.7414,106.414,77.88727,0.0546,0.688,15.54,58.2797,0.12385,8.297325912549878,0.076,0
2020-09-15T21:24:50Z,7.13,11.6551,4.0679,3.6835,107.344,78.519699,0.0542,0.691,15.542,55.3821,0.1238,8.380268425117539,0.073,0
2020-09-15T21:24:50Z,7.151,11.6412,3.9799,3.6015,107.693,78.733144,0.0548,0.732,15.542,50.8449,0.12378,8.412799189964142,0.067,0
2020-09-15T21:24:50Z,7.168,11.6191,3.9367,3.5741,107.848,78.814527,0.0546,0.758,15.541,45.6662,0.12379,8.430857368408697,0.062,0
2020-09-15T21:24:50Z,7.18,11.5933,3.937,3.5922,107.958,78.867711,0.0518,0.751,15.541,41.8949,0.12379,8.445978604641994,0.057,0
2020-09-15T21:24:50Z,7.19,11.5698,3.9356,3.5127,107.907,78.80381,0.0505,0.748,15.541,39.9202,0.1238,8.446999280952816,0.053,0
2020-09-15T21:24:50Z,7.201,11.5498,3.9292,3.3332,107.59,78.550635,0.0566,0.742,15.542,38.6538,0.1238,8.424751617996964,0.052,0
2020-09-15T21:24:50Z,7.215,11.5356,3.9181,3.2076,106.979,78.095957,0.0595,0.721,15.542,37.3383,0.12378,8.376340202056992,0.053,0
2020-09-15T21:24:50Z,7.23,11.5249,3.9151,3.1949,106.423,77.694257,0.0562,0.711,15.542,35.8883,0.12378,8.33178022885747,0.056,0
2020-09-15T21:24:50Z,7.245,11.5115,3.951,3.3506,106.425,77.700048,0.0572,0.713,15.542,34.372,0.12373,8.334947883941878,0.061,0
2020-09-15T21:24:50Z,7.259,11.4989,4.027,3.6146,106.73,77.911628,0.0577,0.71,15.542,33.1151,0.12368,8.3635482311566,0.065,0
2020-09-15T21:24:50Z,7.275,11.4955,4.0802,3.7432,106.851,77.96314,0.0542,0.706,15.542,32.3062,0.12373,8.374540679213588,0.067,0
2020-09-15T21:24:50Z,7.295,11.5002,4.0802,3.7387,106.799,77.87769,0.0538,0.705,15.542,31.389,0.12373,8.369084370107032,0.065,0
2020-09-15T21:24:50Z,7.316,11.5043,4.0075,3.6285,106.687,77.768695,0.055,0.714,15.543,29.5108,0.12369,8.35869320154603,0.062,0
2020-09-15T21:24:50Z,7.334,11.5026,3.8784,3.4746,106.804,77.853502,0.053900000000000003,0.73,15.543,26.6325,0.12375,8.368962246494087,0.061,0
2020-09-15T21:24:50Z,7.346,11.4823,3.7966,3.4239,107.711,78.521521,0.0538,0.725,15.543,23.6898,0.1238,8.450269667991181,0.062,0
2020-09-15T21:24:50Z,7.355,11.4513,3.7815,3.4271,109.063,79.486226,0.053900000000000003,0.699,15.543,21.0337,0.12377,8.5719175488268,0.065,0
2020-09-15T21:24:50Z,7.367,11.44,3.7634,3.4453,110.008,80.105508,0.0535,0.674,15.544,18.5226,0.12372,8.654729004609086,0.072,0
2020-09-15T21:24:50Z,7.386,11.4416,3.6062,3.4714,110.293,80.221783,0.0572,0.676,15.545,16.6452,0.12372,8.678555102570797,0.081,0
2020-09-15T21:24:50Z,7.412,11.4512,3.3202,3.4679,109.938,79.874391,0.0557,0.697,15.547,15.542,0.12376,8.646174150394833,0.089,0
2020-09-15T21:24:50Z,7.441,11.4496,3.1476,3.4716,109.596,79.530249,0.0538,0.699,15.548,14.562,0.12375,8.6175172218302,0.094,0
2020-09-15T21:24:50Z,7.47,11.4085,3.112,3.5163,109.673,79.495008,0.0505,0.702,15.55,13.4001,0.12372,8.633591589312188,0.094,0
2020-09-15T21:24:50Z,7.495,11.3623,2.9858,3.4594,109.785,79.511803,0.0504,0.715,15.55,12.249,0.12375,8.653864268033557,0.091,0
2020-09-15T21:24:50Z,7.515,11.3274,2.7468,3.2299,109.977,79.606054,0.0551,0.706,15.55,11.2266,0.12378,8.67835520452294,0.086,0
2020-09-15T21:24:50Z,7.532,11.281,2.6156,3.0765,110.323,79.807772,0.0531,0.666,15.551,10.2443,0.12377,8.718727543212761,0.08,0
2020-09-15T21:24:50Z,7.552,11.2329,2.6106,3.0807,110.545,79.915572,0.0534,0.638,15.551,8.8045,0.12377,8.749013214920502,0.074,0
2020-09-15T21:24:50Z,7.572,11.2055,2.6296,3.0752,110.654,79.955421,0.0554,0.637,15.552,6.5518,0.12377,8.76480514597414,0.069,0
2020-09-15T21:24:50Z,7.592,11.1917,2.6542,3.0432,110.79,80.035131,0.0559,0.648,15.553,3.9141,0.12378,8.77970324141087,0.066,0
2020-09-15T21:24:50Z,7.607,11.1691,2.6597,3.0033,111.353,80.434131,0.0504,0.68,15.553,1.6062,0.12383,8.833263849115724,0.064,0
2020-09-15T21:24:50Z,7.62,11.1403,2.6579,2.97,112.718,81.408833,0.048,0.705,15.553,0.1565,0.12387,8.957189028889449,0.063,0
2020-09-15T21:24:50Z,7.633,11.1223,2.652,3.0535,113.966,82.279754,0.0495,0.711,15.554,-0.5363,0.12387,9.068733642583192,0.062,0
2020-09-15T21:24:50Z,7.648,11.1161,2.6359,3.2229,114.255,82.441419,0.0484,0.72,15.555,-1.0058,0.12388,9.095093952927177,0.062,0
2020-09-15T21:24:50Z,7.667,11.1138,2.625,3.3009,114.087,82.282202,0.0527,0.714,15.555,-1.5618,0.12387,9.081215200425133,0.061,0
2020-09-15T21:24:50Z,7.687,11.1124,2.6061,3.2419,113.986,82.199231,0.0555,0.698,15.555,-2.6132,0.12379,9.072874625312675,0.059,0
2020-09-15T21:24:50Z,7.703,11.1002,2.5226,3.0584,114.142,82.328696,0.0537,0.694,15.555,-4.1679,0.12374,9.089282248008901,0.059,0
2020-09-15T21:24:50Z,7.714,11.0729,2.3966,2.8673,114.81,82.829871,0.0563,0.689,15.554,-5.7328,0.12375,9.153502474658163,0.059,0
2020-09-15T21:24:50Z,7.724,11.0533,2.3329,2.8202,115.995,83.679145,0.0555,0.69,15.554,-7.1657,0.12375,9.26050108621007,0.059,0
2020-09-15T21:24:50Z,7.737,11.0494,2.324,2.8664,117.209,84.518778,0.0527,0.692,15.555,-8.3284,0.12373,9.366232524204223,0.061,0
2020-09-15T21:24:50Z,7.754,11.0598,2.317,2.9108,118.175,85.157566,0.0541,0.681,15.555,-9.2946,0.12369,9.446998834978231,0.064,0
2020-09-15T21:24:50Z,7.774,11.0758,2.2962,2.9102,119.084,85.740973,0.0528,0.688,15.556,-10.4165,0.12365,9.521415227410294,0.068,0
2020-09-15T21:24:50Z,7.793,11.0722,2.2638,2.8938,120.037,86.356084,0.0527,0.715,15.557,-11.5679,0.12367,9.604722238547561,0.07,0
2020-09-15T21:24:50Z,7.812,11.0546,2.2494,2.885,120.847,86.86911,0.0545,0.719,15.557,-12.4614,0.12373,9.67940173154104,0.07,0
2020-09-15T21:24:50Z,7.83,11.0307,2.2564,2.8721,121.279,87.108766,0.0516,0.71,15.558,-13.304,0.12371,9.72309934537518,0.069,0
2020-09-15T21:24:50Z,7.847,10.9969,2.3004,2.8748,121.424,87.1542,0.0517,0.706,15.559,-14.4425,0.12368,9.744586347606981,0.067,0
2020-09-15T21:24:50Z,7.863,10.9677,2.3707,2.8837,121.759,87.354761,0.0569,0.686,15.56,-15.8163,0.12377,9.781391584307013,0.067,0
