Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,4.311,11.491,1.4885,4.162,54.213,39.593268,0.0622,0.78,6.562,167.0298,0.12373,4.043429757066692,0.019,999.5973,0
2020-06-18T07:01:02Z,4.316,11.4788,1.5097,4.1626,54.279,39.651671,0.0643,0.767,6.561,166.3971,0.12373,4.050012348017449,0.02,999.5987,0
2020-06-18T07:01:02Z,4.321,11.4846,1.5218,4.2033,54.342,39.697208,0.0637,0.766,6.559,165.489,0.12369,4.0544024546942286,0.02,999.5981,0
2020-06-18T07:01:02Z,4.326,11.5008,1.5106,4.1728,54.451,39.763018,0.0601,0.781,6.559,164.9114,0.12368,4.061324232714084,0.021,999.5963,0
2020-06-18T07:01:02Z,4.332,11.5146,1.4705,4.0351,54.639,39.876114,0.0599,0.796,6.558,164.5754,0.1237,4.074795653580007,0.022,999.5948,0
2020-06-18T07:01:02Z,4.337,11.5261,1.4465,3.9455,54.83,39.985578,0.0576,0.8,6.557,164.0082,0.12372,4.0887522815992305,0.024,999.5937,0
2020-06-18T07:01:02Z,4.343,11.5276,1.4493,3.9132,54.987,40.070949,0.0583,0.827,6.556,163.1299,0.12372,4.101095033670864,0.025,999.5936,0
2020-06-18T07:01:02Z,4.35,11.5136,1.457,3.9538,55.122,40.146622,0.0591,0.861,6.555,162.1297,0.12371,4.113395154050633,0.026,999.5952,0
2020-06-18T07:01:02Z,4.357,11.4898,1.4631,4.0936,55.224,40.202295,0.0622,0.866,6.553,161.3791,0.1237,4.124158002253278,0.026,999.5979,0
2020-06-18T07:01:02Z,4.364,11.4602,1.457,4.161,55.291,40.236289,0.0596,0.872,6.552,160.8511,0.12368,4.132783915529027,0.026,999.6011,0
2020-06-18T07:01:02Z,4.37,11.4322,1.4494,4.1511,55.313,40.240251,0.0625,0.866,6.552,160.3925,0.12369,4.137648785701699,0.025,999.6042,0
2020-06-18T07:01:02Z,4.377,11.4115,1.4673,4.1794,55.341,40.250193,0.0681,0.83,6.551,159.9631,0.12371,4.142187872852628,0.023,999.6065,0
